monument,monumentLabel,monumentDescription,type,typeLabel,typeDescription,sipa_id,idwlm,gps_coords,locationLabel,localidadeLabel,image
http://www.wikidata.org/entity/Q955299,Ponte Eiffel,"ponte rodo-ferroviária perto de Viana do Castelo, Portugal",http://www.wikidata.org/entity/Q21170235,ponte metálica,,442,DGPC-70343,Point(-8.81805556 41.69277778),Santa Maria Maior,Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,http://commons.wikimedia.org/wiki/Special:FilePath/Ponte%20Eiffel.JPG
http://www.wikidata.org/entity/Q959075,Santuário de Panóias,"santuário em Vila Real, Portugal",http://www.wikidata.org/entity/Q29553,santuário,lugar sagrado,3671,DGPC-70273,Point(-7.79861111 41.28333333),Galécia,Constantim e Vale de Nogueiras,http://commons.wikimedia.org/wiki/Special:FilePath/Santuario%20de%20Panoias%20Vila%20Real%20Portugal%2001.jpg
http://www.wikidata.org/entity/Q959075,Santuário de Panóias,"santuário em Vila Real, Portugal",http://www.wikidata.org/entity/Q21752084,sítio arqueológico romano,sítio arqueológico da Roma Antiga,3671,DGPC-70273,Point(-7.79861111 41.28333333),Galécia,Constantim e Vale de Nogueiras,http://commons.wikimedia.org/wiki/Special:FilePath/Santuario%20de%20Panoias%20Vila%20Real%20Portugal%2001.jpg
http://www.wikidata.org/entity/Q959578,Palacete Mayer,"palácio em Lisboa, Portugal",http://www.wikidata.org/entity/Q41176,edifício,tipo de obra arquitetônica,5065,SIPA-5065,Point(-9.145659 38.719311),São Mamede,Santo António,http://commons.wikimedia.org/wiki/Special:FilePath/PalacioMayer.JPG
http://www.wikidata.org/entity/Q967363,Castro de Leceia,"antigo povoado em Oeiras, Portugal",http://www.wikidata.org/entity/Q744099,castro,povoado fortificado,2345,DGPC-74290,Point(-9.281604 38.728063),,Barcarena,http://commons.wikimedia.org/wiki/Special:FilePath/Castro%20de%20Leceia%20-%20Portugal%20%2818896955814%29.jpg
http://www.wikidata.org/entity/Q967363,Castro de Leceia,"antigo povoado em Oeiras, Portugal",http://www.wikidata.org/entity/Q839954,sítio arqueológico,local onde se concentram vestígios arquelógicos,2345,DGPC-74290,Point(-9.281604 38.728063),,Barcarena,http://commons.wikimedia.org/wiki/Special:FilePath/Castro%20de%20Leceia%20-%20Portugal%20%2818896955814%29.jpg
http://www.wikidata.org/entity/Q968458,Central Tejo,"central eléctrica em Lisboa, Portugal",http://www.wikidata.org/entity/Q839954,sítio arqueológico,local onde se concentram vestígios arquelógicos,4306,DGPC-73123,Point(-9.194977 38.695823),Santa Maria de Belém,Belém,http://commons.wikimedia.org/wiki/Special:FilePath/Portuguese%20Electricity%20museum.jpg
http://www.wikidata.org/entity/Q968458,Central Tejo,"central eléctrica em Lisboa, Portugal",http://www.wikidata.org/entity/Q6558431,central elétrica a carvão,,4306,DGPC-73123,Point(-9.194977 38.695823),Santa Maria de Belém,Belém,http://commons.wikimedia.org/wiki/Special:FilePath/Portuguese%20Electricity%20museum.jpg
http://www.wikidata.org/entity/Q976850,Cemitério dos Prazeres,"cemitério de Lisboa, Portugal",http://www.wikidata.org/entity/Q39614,cemitério,local de enterro,23320,DGPC -17126916,Point(-9.169985 38.714016),,Estrela,http://commons.wikimedia.org/wiki/Special:FilePath/Cemit%C3%A9rio%20dos%20Prazeres%20%2835106864925%29.jpg
http://www.wikidata.org/entity/Q977178,Café Guarany,,http://www.wikidata.org/entity/Q11707,restaurante,estabelecimento que serve comida,23947,SIPA-23947,Point(-8.6114 41.14785),Santo Ildefonso,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",http://commons.wikimedia.org/wiki/Special:FilePath/Guarany%20int%C3%A9rieur.JPG
http://www.wikidata.org/entity/Q977178,Café Guarany,,http://www.wikidata.org/entity/Q41176,edifício,tipo de obra arquitetônica,23947,SIPA-23947,Point(-8.6114 41.14785),Santo Ildefonso,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",http://commons.wikimedia.org/wiki/Special:FilePath/Guarany%20int%C3%A9rieur.JPG
http://www.wikidata.org/entity/Q979100,Sé Nova de Coimbra,"sé em Coimbra, Portugal",http://www.wikidata.org/entity/Q2977,catedral,,2809,DGPC-70315,Point(-8.424444 40.209444),Sé Nova,"Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%A9%20Nova%20de%20Coimbra%20-%20Fachada%20principal%20%282%29.jpg
http://www.wikidata.org/entity/Q979100,Sé Nova de Coimbra,"sé em Coimbra, Portugal",http://www.wikidata.org/entity/Q33506,museu,"instituição que conserva artefatos de importância científica, artística, cultural ou histórica",2809,DGPC-70315,Point(-8.424444 40.209444),Sé Nova,"Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%A9%20Nova%20de%20Coimbra%20-%20Fachada%20principal%20%282%29.jpg
http://www.wikidata.org/entity/Q979100,Sé Nova de Coimbra,"sé em Coimbra, Portugal",http://www.wikidata.org/entity/Q56242215,catedral católica,,2809,DGPC-70315,Point(-8.424444 40.209444),Sé Nova,"Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%A9%20Nova%20de%20Coimbra%20-%20Fachada%20principal%20%282%29.jpg
http://www.wikidata.org/entity/Q985517,Alfama,bairro da cidade de Lisboa,http://www.wikidata.org/entity/Q16837104,bairro,comunidade ou região dentro de uma cidade ou município lusófonos,3993,DGPC-70067,Point(-9.132385 38.710662),,Santa Maria Maior,http://commons.wikimedia.org/wiki/Special:FilePath/Lissabon%20Strassenbahn.jpg
http://www.wikidata.org/entity/Q985517,Alfama,bairro da cidade de Lisboa,http://www.wikidata.org/entity/Q16837104,bairro,comunidade ou região dentro de uma cidade ou município lusófonos,3993,DGPC-70067,Point(-9.132385 38.710662),,Santa Maria Maior,http://commons.wikimedia.org/wiki/Special:FilePath/Alfama-CCBY.jpg
http://www.wikidata.org/entity/Q985517,Alfama,bairro da cidade de Lisboa,http://www.wikidata.org/entity/Q16837104,bairro,comunidade ou região dentro de uma cidade ou município lusófonos,3993,DGPC-70067,Point(-9.132385 38.710662),,Santa Maria Maior,http://commons.wikimedia.org/wiki/Special:FilePath/MiradouroSantaLuzia.JPG
http://www.wikidata.org/entity/Q993599,Castelo Mendo,"localidade e antiga freguesia no concelho de Almeida, Portugal",http://www.wikidata.org/entity/Q1131296,freguesia de Portugal,divisão administrativa de terceiro nível em Portugal,5929,DGPC-73023,Point(-6.951385 40.594193),,"Castelo Mendo, Ade, Monteperobolso e Mesquitela",http://commons.wikimedia.org/wiki/Special:FilePath/Aldeia%20de%20Castelo%20Mendo.jpg
http://www.wikidata.org/entity/Q993599,Castelo Mendo,"localidade e antiga freguesia no concelho de Almeida, Portugal",http://www.wikidata.org/entity/Q3257686,localidade,entidade de população,5929,DGPC-73023,Point(-6.951385 40.594193),,"Castelo Mendo, Ade, Monteperobolso e Mesquitela",http://commons.wikimedia.org/wiki/Special:FilePath/Aldeia%20de%20Castelo%20Mendo.jpg
http://www.wikidata.org/entity/Q995183,Penamacor,município e vila de Portugal,http://www.wikidata.org/entity/Q13217644,município de Portugal,divisão administrativa de Portugal de segundo nivel,28033,,Point(-7.166666666 40.166666666),,Beira Baixa,http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20de%20Menagem%20do%20Castelo%20de%20Penamacor.JPG
http://www.wikidata.org/entity/Q995183,Penamacor,município e vila de Portugal,http://www.wikidata.org/entity/Q19833170,vila de Portugal,povoação classificada oficialmente como vila em Portugal,28033,,Point(-7.166666666 40.166666666),,Beira Baixa,http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20de%20Menagem%20do%20Castelo%20de%20Penamacor.JPG
http://www.wikidata.org/entity/Q995183,Penamacor,município e vila de Portugal,http://www.wikidata.org/entity/Q13217644,município de Portugal,divisão administrativa de Portugal de segundo nivel,28033,,Point(-7.166666666 40.166666666),,Castelo Branco,http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20de%20Menagem%20do%20Castelo%20de%20Penamacor.JPG
http://www.wikidata.org/entity/Q995183,Penamacor,município e vila de Portugal,http://www.wikidata.org/entity/Q19833170,vila de Portugal,povoação classificada oficialmente como vila em Portugal,28033,,Point(-7.166666666 40.166666666),,Castelo Branco,http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20de%20Menagem%20do%20Castelo%20de%20Penamacor.JPG
http://www.wikidata.org/entity/Q995183,Penamacor,município e vila de Portugal,http://www.wikidata.org/entity/Q13217644,município de Portugal,divisão administrativa de Portugal de segundo nivel,28033,,Point(-7.166666666 40.166666666),,Beira Baixa,http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20de%20Santo%20Ant%C3%B3nio%20%28Penamacor%29.jpg
http://www.wikidata.org/entity/Q995183,Penamacor,município e vila de Portugal,http://www.wikidata.org/entity/Q19833170,vila de Portugal,povoação classificada oficialmente como vila em Portugal,28033,,Point(-7.166666666 40.166666666),,Beira Baixa,http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20de%20Santo%20Ant%C3%B3nio%20%28Penamacor%29.jpg
http://www.wikidata.org/entity/Q995183,Penamacor,município e vila de Portugal,http://www.wikidata.org/entity/Q13217644,município de Portugal,divisão administrativa de Portugal de segundo nivel,28033,,Point(-7.166666666 40.166666666),,Castelo Branco,http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20de%20Santo%20Ant%C3%B3nio%20%28Penamacor%29.jpg
http://www.wikidata.org/entity/Q995183,Penamacor,município e vila de Portugal,http://www.wikidata.org/entity/Q19833170,vila de Portugal,povoação classificada oficialmente como vila em Portugal,28033,,Point(-7.166666666 40.166666666),,Castelo Branco,http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20de%20Santo%20Ant%C3%B3nio%20%28Penamacor%29.jpg
http://www.wikidata.org/entity/Q995932,Hotel Dom Henrique,,http://www.wikidata.org/entity/Q27686,hotel,edifício licenciado para albergar pessoas de forma temporária,34663,DGPC-7930509,Point(-8.60725556 41.15223333),Santo Ildefonso,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",http://commons.wikimedia.org/wiki/Special:FilePath/Portogallo%202007%20%281550300328%29.jpg
http://www.wikidata.org/entity/Q999002,Praça do Comércio,"praça de Lisboa, Portugal",http://www.wikidata.org/entity/Q174782,praça,espaço aberto urbano,6491,DGPC-70275,Point(-9.136388888 38.7075),Madalena,Santa Maria Maior,http://commons.wikimedia.org/wiki/Special:FilePath/Lisbon%20main%20square%20%2836622604910%29.jpg
http://www.wikidata.org/entity/Q1004331,Sé do Funchal,"catedral na cidade do Funchal, Ilha da Madeira",http://www.wikidata.org/entity/Q2977,catedral,,5015,DRC-M-220310001,Point(-16.90825 32.64817),,Sé,http://commons.wikimedia.org/wiki/Special:FilePath/Catedral%2C%20Funchal%2C%20Madeira%2C%20Portugal%2C%202019-05-29%2C%20DD%2034.jpg
http://www.wikidata.org/entity/Q1004331,Sé do Funchal,"catedral na cidade do Funchal, Ilha da Madeira",http://www.wikidata.org/entity/Q2977,catedral,,5015,DRC-M-220310001,Point(-16.90825 32.64817),,Funchal,http://commons.wikimedia.org/wiki/Special:FilePath/Catedral%2C%20Funchal%2C%20Madeira%2C%20Portugal%2C%202019-05-29%2C%20DD%2034.jpg
http://www.wikidata.org/entity/Q1013623,Vila Viçosa,município e vila de Portugal,http://www.wikidata.org/entity/Q13217644,município de Portugal,divisão administrativa de Portugal de segundo nivel,http://www.wikidata.org/.well-known/genid/1cf627c07e5cae60e3ed1c6caced776c,DGPC-26745941,Point(-7.433333333 38.75),,Évora,http://commons.wikimedia.org/wiki/Special:FilePath/Castelo%20Vila%20Vicosa1.jpg
http://www.wikidata.org/entity/Q1013623,Vila Viçosa,município e vila de Portugal,http://www.wikidata.org/entity/Q19833170,vila de Portugal,povoação classificada oficialmente como vila em Portugal,http://www.wikidata.org/.well-known/genid/1cf627c07e5cae60e3ed1c6caced776c,DGPC-26745941,Point(-7.433333333 38.75),,Évora,http://commons.wikimedia.org/wiki/Special:FilePath/Castelo%20Vila%20Vicosa1.jpg
http://www.wikidata.org/entity/Q1022121,Sistelo,"freguesia do município de Arcos de Valdevez, Portugal",http://www.wikidata.org/entity/Q1131296,freguesia de Portugal,divisão administrativa de terceiro nível em Portugal,35666,DGPC-9109744,Point(-8.374722222 41.973333333),,Arcos de Valdevez,http://commons.wikimedia.org/wiki/Special:FilePath/Arcos%20de%20Valdevez%20III%20%2827050054972%29.jpg
http://www.wikidata.org/entity/Q1024238,Lardosa,"vila e freguesia do município de Castelo Branco, Portugal",http://www.wikidata.org/entity/Q1131296,freguesia de Portugal,divisão administrativa de terceiro nível em Portugal,29030,,Point(-7.443888888 39.989444444),,Castelo Branco,http://commons.wikimedia.org/wiki/Special:FilePath/Lardosa%20-%20Abertura%20de%20estrada%20para%20passagem%20superior%20%284118647818%29.jpg
http://www.wikidata.org/entity/Q1024238,Lardosa,"vila e freguesia do município de Castelo Branco, Portugal",http://www.wikidata.org/entity/Q19833170,vila de Portugal,povoação classificada oficialmente como vila em Portugal,29030,,Point(-7.443888888 39.989444444),,Castelo Branco,http://commons.wikimedia.org/wiki/Special:FilePath/Lardosa%20-%20Abertura%20de%20estrada%20para%20passagem%20superior%20%284118647818%29.jpg
http://www.wikidata.org/entity/Q1024317,Pedrógão de São Pedro,"localidade e antiga freguesia de Penamacor, Portugal",http://www.wikidata.org/entity/Q1131296,freguesia de Portugal,divisão administrativa de terceiro nível em Portugal,28035,,Point(-7.238611111 40.088888888),,Pedrógão de São Pedro e Bemposta,
http://www.wikidata.org/entity/Q1024317,Pedrógão de São Pedro,"localidade e antiga freguesia de Penamacor, Portugal",http://www.wikidata.org/entity/Q3257686,localidade,entidade de população,28035,,Point(-7.238611111 40.088888888),,Pedrógão de São Pedro e Bemposta,
http://www.wikidata.org/entity/Q1024355,Castelo Novo,"freguesia e vila do município do Fundão, Portugal",http://www.wikidata.org/entity/Q676050,centro histórico,núcleo antigo de uma cidade,5879,DGPC-72062,Point(-7.495 40.076666666),,Fundão,http://commons.wikimedia.org/wiki/Special:FilePath/Castelo%20de%20Castelo%20Novo.jpg
http://www.wikidata.org/entity/Q1024355,Castelo Novo,"freguesia e vila do município do Fundão, Portugal",http://www.wikidata.org/entity/Q1131296,freguesia de Portugal,divisão administrativa de terceiro nível em Portugal,5879,DGPC-72062,Point(-7.495 40.076666666),,Fundão,http://commons.wikimedia.org/wiki/Special:FilePath/Castelo%20de%20Castelo%20Novo.jpg
http://www.wikidata.org/entity/Q1024355,Castelo Novo,"freguesia e vila do município do Fundão, Portugal",http://www.wikidata.org/entity/Q19833170,vila de Portugal,povoação classificada oficialmente como vila em Portugal,5879,DGPC-72062,Point(-7.495 40.076666666),,Fundão,http://commons.wikimedia.org/wiki/Special:FilePath/Castelo%20de%20Castelo%20Novo.jpg
http://www.wikidata.org/entity/Q1024353,Meimoa,"freguesia do município de Penamacor, Portugal",http://www.wikidata.org/entity/Q1131296,freguesia de Portugal,divisão administrativa de terceiro nível em Portugal,28036,,Point(-7.186388888 40.228333333),,Penamacor,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20Fluvial%20da%20Ribeira%20da%20Meimoa%20-%20Portugal%20%286095877533%29.jpg
http://www.wikidata.org/entity/Q1024537,Aldeia de João Pires,"localidade e antiga freguesia de Penamacor, Portugal",http://www.wikidata.org/entity/Q1131296,freguesia de Portugal,divisão administrativa de terceiro nível em Portugal,28034,,Point(-7.150555555 40.103611111),,"Aldeia do Bispo, Águas e Aldeia de João Pires",
http://www.wikidata.org/entity/Q1024537,Aldeia de João Pires,"localidade e antiga freguesia de Penamacor, Portugal",http://www.wikidata.org/entity/Q3257686,localidade,entidade de população,28034,,Point(-7.150555555 40.103611111),,"Aldeia do Bispo, Águas e Aldeia de João Pires",
http://www.wikidata.org/entity/Q1024908,Farol do Cabo de Sines,,http://www.wikidata.org/entity/Q39715,farol,construção para sinalização na navegação,16780,,Point(-8.8802489 37.9594773),,Sines,http://commons.wikimedia.org/wiki/Special:FilePath/Farol%20de%20Sines.jpg
http://www.wikidata.org/entity/Q1034514,Poços da Neve e Capela de Santo António da Neve,conjunto edificado em Castanheira de Pera,http://www.wikidata.org/entity/Q108325,capela,"lugar de culto religioso, podendo ser parte de um edifício maior como uma igreja ou um palácio",35549,DGPC-71809,Point(-8.162585258 40.077255249),Coentral,Castanheira de Pera e Coentral,http://commons.wikimedia.org/wiki/Special:FilePath/Po%C3%A7o%20da%20Neve%20e%20Capela%20de%20Santo%20Ant%C3%B3nio%20da%20Neve%20ao%20fundo.jpg
http://www.wikidata.org/entity/Q1034514,Poços da Neve e Capela de Santo António da Neve,conjunto edificado em Castanheira de Pera,http://www.wikidata.org/entity/Q253893,casa de gelo,,35549,DGPC-71809,Point(-8.162585258 40.077255249),Coentral,Castanheira de Pera e Coentral,http://commons.wikimedia.org/wiki/Special:FilePath/Po%C3%A7o%20da%20Neve%20e%20Capela%20de%20Santo%20Ant%C3%B3nio%20da%20Neve%20ao%20fundo.jpg
http://www.wikidata.org/entity/Q1034524,Capela de Murfacém,"capela no lugar de Murfacém, na Trafaria",http://www.wikidata.org/entity/Q108325,capela,"lugar de culto religioso, podendo ser parte de um edifício maior como uma igreja ou um palácio",27244,,Point(-9.224401 38.668035),,Caparica e Trafaria,
http://www.wikidata.org/entity/Q1046464,Casa da Prelada,edifício histórico na cidade do Porto,http://www.wikidata.org/entity/Q1802963,mansão,,5446,DGPC-73490,Point(-8.63120278 41.17053333),,Ramalde,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20da%20Prelada%20001.jpg
http://www.wikidata.org/entity/Q1048954,Castelo de Castelo Rodrigo,castelo medieval em Castelo Rodrigo,http://www.wikidata.org/entity/Q23413,castelo,fortificação construída na Idade Média pela nobreza,1443,DGPC-71117,Point(-6.964265 40.877374),,Castelo Rodrigo,http://commons.wikimedia.org/wiki/Special:FilePath/Castelo%20de%20Castelo%20Rodrigo.jpg
http://www.wikidata.org/entity/Q1048959,Castelo Velho de Freixo de Numão,povoado da Idade do Bronze em Freixo de Numão,http://www.wikidata.org/entity/Q839954,sítio arqueológico,local onde se concentram vestígios arquelógicos,20584,DGPC-323273,Point(-7.191814 41.072387),,Freixo de Numão,http://commons.wikimedia.org/wiki/Special:FilePath/Castelo%20Velho%20de%20Freixo%20de%20Num%C3%A3o.jpg
http://www.wikidata.org/entity/Q1048974,Castelo da Lousa,castelo romano junto ao Guadiana no concelho de Mourão,http://www.wikidata.org/entity/Q23413,castelo,fortificação construída na Idade Média pela nobreza,1200,DGPC-70526,Point(-7.4032 38.35935278),,Luz,http://commons.wikimedia.org/wiki/Special:FilePath/Castelo%20da%20Lousa%2001.JPG
http://www.wikidata.org/entity/Q1048974,Castelo da Lousa,castelo romano junto ao Guadiana no concelho de Mourão,http://www.wikidata.org/entity/Q918230,villa romana,quinta da Roma Antiga,1200,DGPC-70526,Point(-7.4032 38.35935278),,Luz,http://commons.wikimedia.org/wiki/Special:FilePath/Castelo%20da%20Lousa%2001.JPG
http://www.wikidata.org/entity/Q1048974,Castelo da Lousa,castelo romano junto ao Guadiana no concelho de Mourão,http://www.wikidata.org/entity/Q14752696,estrutura da Roma Antiga,,1200,DGPC-70526,Point(-7.4032 38.35935278),,Luz,http://commons.wikimedia.org/wiki/Special:FilePath/Castelo%20da%20Lousa%2001.JPG
http://www.wikidata.org/entity/Q1049008,Castelo dos Mouros,"castelo em Sintra, Portugal",http://www.wikidata.org/entity/Q23413,castelo,fortificação construída na Idade Média pela nobreza,4641,DGPC-336929,Point(-9.38959722 38.79254167),São Pedro de Penaferrim,"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",http://commons.wikimedia.org/wiki/Special:FilePath/Castelo%20dos%20Mouros%2C%20Sintra%2C%20Portugal%2C%202019-05-25%2C%20DD%20112-121%20PAN.jpg
http://www.wikidata.org/entity/Q1049912,Citânia de Sabroso,,http://www.wikidata.org/entity/Q744099,castro,povoado fortificado,1072,DGPC-69792,Point(-8.341151237 41.511463165),São Lourenço de Sande,Sande São Lourenço e Balazar,http://commons.wikimedia.org/wiki/Special:FilePath/Pedra%20Formosa-Cit%C3%A2nia%20de%20Sabroso.png
http://www.wikidata.org/entity/Q1049912,Citânia de Sabroso,,http://www.wikidata.org/entity/Q21752084,sítio arqueológico romano,sítio arqueológico da Roma Antiga,1072,DGPC-69792,Point(-8.341151237 41.511463165),São Lourenço de Sande,Sande São Lourenço e Balazar,http://commons.wikimedia.org/wiki/Special:FilePath/Pedra%20Formosa-Cit%C3%A2nia%20de%20Sabroso.png
http://www.wikidata.org/entity/Q1053342,Cemitério Alemão,cemitério alemão em Lisboa,http://www.wikidata.org/entity/Q39614,cemitério,local de enterro,23354,SIPA-23354,Point(-9.164879 38.71433),,Campo de Ourique,http://commons.wikimedia.org/wiki/Special:FilePath/Vista%20frontal%20do%20port%C3%A3o%20de%20entrada%20do%20Cemit%C3%A9rio%20Alem%C3%A3o%2C%20Campo%20de%20Ourique.jpg
http://www.wikidata.org/entity/Q1053351,Cemitério dos Olivais,"cemitério em Lisboa, Portugal",http://www.wikidata.org/entity/Q39614,cemitério,local de enterro,23326,,Point(-9.108473 38.764304),,Olivais,
http://www.wikidata.org/entity/Q1053349,Cemitério do Alto de São João,"cemitério em Lisboa, Portugal",http://www.wikidata.org/entity/Q39614,cemitério,local de enterro,23321,DGPC-17126827,Point(-9.12178 38.730236),São João,Penha de França,http://commons.wikimedia.org/wiki/Special:FilePath/All%C3%A9e%20Cemit%C3%A9rio%20do%20Alto%20de%20S%C3%A3o%20Jo%C3%A3o%20Lisboa.jpg
http://www.wikidata.org/entity/Q1054277,Centro Cultural de Belém,"centro cultural em Lisboa, Portugal",http://www.wikidata.org/entity/Q1329623,centro cultural,local onde se promove cultura e arte,55,DGPC-72418,Point(-9.207778 38.695556),Santa Maria de Belém,Belém,http://commons.wikimedia.org/wiki/Special:FilePath/Lisboa%20-%20Portugal%20%28204238418%29.jpg
http://www.wikidata.org/entity/Q1054277,Centro Cultural de Belém,"centro cultural em Lisboa, Portugal",http://www.wikidata.org/entity/Q1378975,centro de convenções,,55,DGPC-72418,Point(-9.207778 38.695556),Santa Maria de Belém,Belém,http://commons.wikimedia.org/wiki/Special:FilePath/Lisboa%20-%20Portugal%20%28204238418%29.jpg
http://www.wikidata.org/entity/Q1056404,Cervejaria da Trindade,"restaurante em Lisboa, Portugal",http://www.wikidata.org/entity/Q11707,restaurante,estabelecimento que serve comida,19784,SIPA-19784,Point(-9.142592 38.712499),,Santa Maria Maior,http://commons.wikimedia.org/wiki/Special:FilePath/Cervejaria%20Trindade%208105.jpg
http://www.wikidata.org/entity/Q1058755,Chafariz da Rua Escura,,http://www.wikidata.org/entity/Q483453,fontanário,peça arquitetônica que ejeta água,495,DGPC-74497,Point(-8.61208333 41.14252778),Morro da Sé,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",http://commons.wikimedia.org/wiki/Special:FilePath/Chafariz%20Rua%20Escura%20%28Porto%29.jpg
http://www.wikidata.org/entity/Q1058761,Chafariz de Massamá,chafariz em Massamá,http://www.wikidata.org/entity/Q483453,fontanário,peça arquitetônica que ejeta água,26941,,Point(-9.27482778 38.75676944),Massamá,Massamá e Monte Abraão,http://commons.wikimedia.org/wiki/Special:FilePath/Chafariz%20de%20Massam%C3%A1.jpg
http://www.wikidata.org/entity/Q1058764,Chafariz do Carmo,,http://www.wikidata.org/entity/Q1630622,fontanário,fonte para o consumo de água,2620,SIPA-2620,Point(-9.14087 38.711932),,Santa Maria Maior,http://commons.wikimedia.org/wiki/Special:FilePath/Largo%20do%20Carmo%20-%20fontana.jpg
